SimParams,trips,2653.0,uams,0.53,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,7,18
0_1,14,39
1_0,59,2
1_1,19,48

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
172.5212895377129,2626378.5699999994,1456084.0072999974,173146.53340000001,0.11891246145959941


SimParams,trips,2653.0,uams,0.53,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,5,0
0_1,7,12
0_2,8,14
1_0,21,30
1_1,44,28
1_2,40,46
2_0,16,35
2_1,24,47
2_2,2,5

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
158.67492492492494,2102984.4500000025,1257496.6260999986,281599.6104,0.22393667271565837


